ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price
AAPL,2025-12-18,268.0544,288.3502,288.3502
ABBV,2025-10-28,222.7721,241.1178,241.1178
ABNB,2026-01-14,132.7253,141.4,141.4
ADBE,2026-01-05,330.7979,362.71,362.71
ADI,2026-03-03,337.955,362.0663,362.0663
ADSK,2025-10-07,312.0069,329.09,329.09
AFL,2026-03-05,110.2801,118.6894,118.6894
AFL,2026-03-06,109.7797,118.6894,118.6894
AJG,2026-01-21,244.958,266.0566,266.0566
AJG,2026-01-27,241.1203,266.0566,266.0566
AMD,2025-11-06,236.8834,267.08,267.08
AMD,2025-11-07,231.1602,267.08,267.08
AME,2026-03-05,225.7377,242.05,242.05
AMGN,2026-03-05,366.6551,391.29,391.29
AMP,2026-02-10,500.6009,548.5588,548.5588
AMP,2026-02-11,484.3878,548.5588,548.5588
AMZN,2025-12-15,222.5218,258.6,258.6
ANET,2025-10-14,137.6126,162.68,162.68
ANET,2026-02-23,126.6259,151.8,151.8
AOS,2026-02-25,75.7016,81.87,81.87
AOS,2026-03-03,75.1803,81.87,81.87
APD,2026-02-13,275.1161,296.46,296.46
ASML,2026-02-26,1434.0679,1547.22,1547.22
AVY,2026-03-03,188.5825,198.5561,198.5561
AZO,2025-10-09,3949.2779,4388.1099,4388.1099
AZO,2026-03-03,3596.6164,3887.03,3887.03
BA,2026-01-27,241.8728,254.14,254.14
BA,2026-01-29,233.5231,254.35,254.35
BA,2026-01-30,230.3931,254.35,254.35
BA,2026-02-20,231.5827,254.35,254.35
BA,2026-02-23,229.6356,254.35,254.35
BA,2026-03-03,221.2819,254.35,254.35
BA,2026-03-05,218.7324,254.35,254.35
BALL,2026-03-03,64.7705,68.0865,68.0865
BBY,2026-02-20,63.0471,73.42,73.42
BBY,2026-02-23,61.7421,73.42,73.42
BDX,2026-03-05,169.3736,187.35,187.35
BEN,2026-02-27,26.397,28.32,28.32
